Publication.Title,CountryOfOrigin,Qid_CoO,Inception,Qid,Count
Sociology of race and ethnicity,United States of America,Q30,,Q27726520,1
Sociology of Sport Journal,United States of America,Q30,,Q15761802,1
SSM - Qualitative Research in Health,,,,,1
Strategic Management Journal,United Kingdom,Q145,,Q2353726,1
Strenae,France,Q142,,Q50815574,1
"Studies in Cultures, Organizations and Societies",Luxembourg,Q32,1995-01-01T00:00:00Z,Q107064582,1
Symbolic Interaction,United States of America,Q30,1978-01-01T00:00:00Z,Q7661165,1
Symmetry,Switzerland,Q39,,Q27724274,1
Teachers College Record,United States of America,Q30,1900-01-01T00:00:00Z,Q15757783,1
Teaching and Teacher Education,United Kingdom,Q145,,Q15766608,1
Teaching Media Quarterly,,,,,1
Teaching Philosophy,United States of America,Q30,1975-01-01T00:00:00Z,Q7691284,1
Teoría de la Educación: Educación y Cultura en la Sociedad de la Información,Spain,Q29,,Q50814328,1
Teoría de la Educación: Educación y Cultura en la Sociedad de la Información,Spain,Q29,,Q50814328,1
The American Biology Teacher,United States of America,Q30,1938-01-01T00:00:00Z,Q1889034,1
Arts in Psychotherapy,United States of America,Q30,,Q15752085,1
The Bedan Journal of Psychology,,,,,1
Canadian Journal of Sociology,Canada,Q16,,Q5030254,1
The Computer Games Journal,United Kingdom,Q145,,Q96735323,1
The Journal of Aesthetics and Art Criticism,United States of America,Q30,1941-01-01T00:00:00Z,Q7743548,1
The Journal of Campus Activities Practice and Scholarship,,,,,1
The Journal of Men s Studies,United States of America,Q30,1992-01-01T00:00:00Z,Q7743601,1
The Motley Undergraduate Journal,,,,,1
The Psychiatric quarterly. Supplement,United States of America,Q30,,Q27712851,1
The Reference Librarian,United States of America,Q30,,Q15745301,1
The Sanyo Revew,,,,,1
Skeptical Inquirer,United States of America,Q30,1976-01-01T00:00:00Z,Q214082,1
The Student Theorist: An Open Handbook of Collective College Theory,,,,,1
Theology in Scotland,United Kingdom,Q145,,Q96737968,1
Theory and Practice of Science and Technology Science and Technology&quot;,,,,,1
Theory & Society,Kingdom of the Netherlands,Q29999,1974-01-01T00:00:00Z,Q15716625,1
Tracés,France,Q142,,Q73896686,1
TRANS-. Revue de littérature générale et comparée,,,,,1
Tríade - Revista de Comunicação Cultura e Mídia,Brazil,Q155,,Q96738496,1
Tsukuba Psychological Research,,,,,1
University of Denver Sports and Entertainment Law Journal,,,,,1
Urdimento,Brazil,Q155,,Q96731991,1
Western Folklore,United States of America,Q30,1942-01-01T00:00:00Z,Q7987841,1
Women and Language,United States of America,Q30,,Q15761964,1
Women's Studies Quarterly,United States of America,Q30,1972-01-01T00:00:00Z,Q7955880,1
Young,Sweden,Q34,,Q15816988,1
Zeitschrift für Psychodrama und Soziometrie,Germany,Q183,,Q96734292,1
人間文化 : 愛知学院大学人間文化研究所紀要,Japan,Q17,,Q113477040,1
愛知県立大学外国語学部紀要第,,,,,1
言語メディア教育研究センター年報 = The language and Media Learning Research Center Annual Report,,,,,1
